number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_gap_penalty,user_attrs_mean_gap,user_attrs_mean_val_acc,user_attrs_std_val,system_attrs_tpe:relative_params:0,state,mean_val_acc,mean_gap,std_val,gap_penalty
11,0.8320000000000001,2025-11-08 18:32:09.864155,2025-11-08 18:32:11.413155,0 days 00:00:01.549000,0.6485439292090047,0.052026130758977183,512,5,85,0.02694392846553174,0.6176037172208071,570,89,0.4997749370303176,0.3231152185441095,0.5590549618405017,5,0.0,0.04557500000000003,0.8320000000000001,0.004335896677735764,,COMPLETE,0.8320000000000001,0.04557500000000003,0.004335896677735764,0.0
17,0.8320000000000001,2025-11-08 18:32:25.689157,2025-11-08 18:32:27.624154,0 days 00:00:01.934997,0.5760732459428889,0.060399725494528406,256,8,112,0.05668397895316562,0.10454522793316316,870,73,0.06424916813668927,0.15246518242848597,0.7037640529931064,2,0.0,0.06925,0.8320000000000001,0.002828427124746181,,COMPLETE,0.8320000000000001,0.06925,0.002828427124746181,0.0
36,0.832,2025-11-08 18:33:12.100158,2025-11-08 18:33:14.639155,0 days 00:00:02.538997,0.5963607334875187,0.048351949122484944,512,10,75,0.05241113859009394,0.11941472318160651,820,75,0.0032043964566760355,0.0009163691108242347,0.5281604128601609,3,,,,,"{""colsample_bytree"": 0.5963607334875187, ""learning_rate"": 0.048351949122484944, ""max_bin"": 512, ""max_depth"": 10, ""min_child_samples"": 75, ""min_child_weight"": 0.05241113859009394, ""min_split_gain"": 0.11941472318160651, ""n_estimators"": 820, ""num_leaves"": 75, ""reg_alpha"": 0.0032043964566760355, ""reg_lambda"": 0.0009163691108242347, ""subsample"": 0.5281604128601609, ""subsample_freq"": 3}",PRUNED,,,,
4,0.8319000000000001,2025-11-08 18:31:49.539159,2025-11-08 18:31:51.505157,0 days 00:00:01.965998,0.6835375346251865,0.03675782943326783,256,9,70,0.09042909615781192,0.8109453867072902,670,59,0.12273800987852965,0.0006235377135673159,0.5012642721490974,4,0.0,0.06837499999999999,0.8319000000000001,0.0034985711369071833,,COMPLETE,0.8319000000000001,0.06837499999999999,0.0034985711369071833,0.0
0,0.8317000000000001,2025-11-08 18:31:37.013158,2025-11-08 18:31:39.194154,0 days 00:00:02.180996,0.6593673112297116,0.03979188834664826,256,8,75,0.028579926603762778,1.078924809815446,870,81,0.0001707396743152812,0.29154431891537513,0.6376234785935724,1,0.00030000000000000165,0.0806,0.8320000000000001,0.0046260134024881695,,COMPLETE,0.8320000000000001,0.0806,0.0046260134024881695,0.00030000000000000165
21,0.8317,2025-11-08 18:32:36.977155,2025-11-08 18:32:38.480161,0 days 00:00:01.503006,0.6386106132688085,0.05980839060785785,512,5,94,0.044381447209727545,0.050396044558393006,770,73,0.000492955231164365,0.005437591736923921,0.5912364634260755,4,0.0,0.04565000000000001,0.8317,0.001805547008526789,,COMPLETE,0.8317,0.04565000000000001,0.001805547008526789,0.0
26,0.8315999999999999,2025-11-08 18:32:50.216156,2025-11-08 18:32:51.974156,0 days 00:00:01.758000,0.5729564091944487,0.06523324988426334,384,7,123,0.09139379693613991,1.0469924609320431,770,73,0.16395028993327745,0.2636253639095915,0.6250506260696205,1,0.0,0.06125000000000005,0.8315999999999999,0.00588557558782487,"{""colsample_bytree"": 0.5729564091944487, ""learning_rate"": 0.06523324988426334, ""max_bin"": 384, ""max_depth"": 7, ""min_child_samples"": 123, ""min_child_weight"": 0.09139379693613991, ""min_split_gain"": 1.0469924609320431, ""n_estimators"": 770, ""num_leaves"": 73, ""reg_alpha"": 0.16395028993327745, ""reg_lambda"": 0.2636253639095915, ""subsample"": 0.6250506260696205, ""subsample_freq"": 1}",COMPLETE,0.8315999999999999,0.06125000000000005,0.00588557558782487,0.0
2,0.8314,2025-11-08 18:31:43.409155,2025-11-08 18:31:45.794155,0 days 00:00:02.385000,0.6114504575125639,0.030613286539420623,320,9,83,0.026360128419491844,1.011525287311231,870,91,0.054567254856014755,0.005762487216478602,0.5279402877530076,1,0.0,0.06897500000000004,0.8314,0.0030561413579872428,,COMPLETE,0.8314,0.06897500000000004,0.0030561413579872428,0.0
7,0.8314,2025-11-08 18:31:57.893155,2025-11-08 18:31:59.967154,0 days 00:00:02.073999,0.7016850610563805,0.0636912296783671,512,10,112,0.0298173757092813,0.12242143068881406,820,79,0.3717371747825047,0.014367095138664226,0.6848610012043467,2,0.0,0.07819999999999998,0.8314,0.004943682837723324,,COMPLETE,0.8314,0.07819999999999998,0.004943682837723324,0.0
20,0.8313,2025-11-08 18:32:33.960157,2025-11-08 18:32:36.161155,0 days 00:00:02.200998,0.5557573092690046,0.046139739998670146,320,6,121,0.06403261834686032,0.8430257397422328,770,79,0.016497426799845456,0.027982272717049284,0.5960661754926553,2,0.0,0.052974999999999994,0.8313,0.0018055470085267843,,COMPLETE,0.8313,0.052974999999999994,0.0018055470085267843,0.0
3,0.8311,2025-11-08 18:31:46.608155,2025-11-08 18:31:48.718154,0 days 00:00:02.109999,0.5441102548104019,0.04604146897058876,384,9,120,0.07959445189157245,0.36189648395006296,470,91,0.024637685958997457,0.48696409415208936,0.5202600928672808,1,0.0,0.05624999999999998,0.8311,0.002870540018881467,,COMPLETE,0.8311,0.05624999999999998,0.002870540018881467,0.0
15,0.8311,2025-11-08 18:32:20.955155,2025-11-08 18:32:22.533154,0 days 00:00:01.577999,0.6919885441609497,0.06427460361453484,256,7,66,0.08337704812330718,0.4283815580035959,870,89,0.005161032492347071,0.7355619850853303,0.7206179028946532,2,0.0,0.07665,0.8311,0.003307567081708229,,COMPLETE,0.8311,0.07665,0.003307567081708229,0.0
16,0.8311,2025-11-08 18:32:23.351155,2025-11-08 18:32:24.842160,0 days 00:00:01.491005,0.6667262743351743,0.0640406460908535,512,5,101,0.09082697746253485,0.7814411875750085,720,75,0.00036335911653931666,0.011839097834757699,0.7008719326986896,4,0.0,0.052300000000000034,0.8311,0.004841487374764085,,COMPLETE,0.8311,0.052300000000000034,0.004841487374764085,0.0
