number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
33,0.822625,2025-11-05 18:50:02.720932,2025-11-05 18:50:23.058615,0 days 00:00:20.337683,0.946848833562324,3.435985188650813,0.032807250533461924,2,5,12,600,2.729491243800324,1.2940296127150854,1.087712623319904,0.7995873623859646,COMPLETE
34,0.822625,2025-11-05 18:50:23.833773,2025-11-05 18:50:43.327663,0 days 00:00:19.493890,0.8794558418872933,4.953629248275949,0.01794205333534922,0,4,18,650,2.4959627595896725,1.7311674274644901,1.1482137790438727,0.6316229575755973,COMPLETE
35,0.8237500000000001,2025-11-05 18:50:44.058234,2025-11-05 18:51:08.559508,0 days 00:00:24.501274,0.8299873863900783,4.555639704002193,0.021728311321489814,1,5,25,800,2.771147783177389,2.2501085254779905,1.2795733920972205,0.7850459371563552,COMPLETE
36,0.8190000000000002,2025-11-05 18:51:09.313653,2025-11-05 18:51:24.023358,0 days 00:00:14.709705,0.6509681481160242,4.127078114693031,0.04139522747044026,0,6,15,450,2.543439972247694,4.208132677379986,1.5843686554101968,0.6807247597110597,PRUNED
37,0.8225000000000001,2025-11-05 18:51:24.775079,2025-11-05 18:51:46.834756,0 days 00:00:22.059677,0.7708668923166008,1.0884358816400186,0.01575374078575901,2,4,10,700,2.3312138913857163,3.166177499396476,1.2415057075920397,0.7688820137064598,COMPLETE
38,0.822625,2025-11-05 18:51:47.602418,2025-11-05 18:52:17.731816,0 days 00:00:30.129398,0.9246584122675594,2.888183490023209,0.013224424524710846,0,6,30,800,0.49974477725378685,1.280130333437988,1.069158962146343,0.7436031493445359,COMPLETE
39,0.822875,2025-11-05 18:52:18.488730,2025-11-05 18:52:36.112048,0 days 00:00:17.623318,0.8924186082451889,0.5909342740708214,0.03329784147780761,1,4,17,550,0.030838125994974153,18.319037714247873,1.3357825006255029,0.709713559124938,COMPLETE
40,0.8176249999999999,2025-11-05 18:52:36.865482,2025-11-05 18:52:50.988150,0 days 00:00:14.122668,0.8486654907647159,3.567559333397297,0.025332766473165676,2,5,6,350,2.798246562132407,11.636910014275054,1.4183628248975615,0.9030923002193075,PRUNED
41,0.8212499999999998,2025-11-05 18:52:51.728976,2025-11-05 18:53:08.877131,0 days 00:00:17.148155,0.8305406819811323,4.573165357130585,0.01911388933750577,1,5,24,500,2.6251928963477535,2.667021678664959,1.207359169229155,0.7553796567331389,PRUNED
42,0.820625,2025-11-05 18:53:09.639983,2025-11-05 18:53:23.364419,0 days 00:00:13.724436,0.8042990708814194,4.417989147536857,0.022673551366412352,1,5,29,400,2.7789752049303726,3.53609968891992,1.2165385316725628,0.7210418772377706,PRUNED
43,0.8228750000000001,2025-11-05 18:53:24.138640,2025-11-05 18:53:41.908854,0 days 00:00:17.770214,0.8611735921399183,3.9899004013119743,0.029786403559766604,1,5,36,550,2.465689921375448,8.049640244199757,1.1529807066267401,0.7549167833726156,COMPLETE
44,0.8234999999999999,2025-11-05 18:53:42.652166,2025-11-05 18:54:03.058577,0 days 00:00:20.406411,0.8240080077537412,3.682778809290834,0.02445315061231419,1,5,21,600,2.999403498629063,2.2935222301235747,1.199823351439176,0.6995999866872233,COMPLETE
45,0.8228750000000001,2025-11-05 18:54:03.816501,2025-11-05 18:54:27.795536,0 days 00:00:23.979035,0.7783629994743672,2.43492031034457,0.035982784263564146,1,5,26,750,2.7258867482400575,1.7793621568999491,1.2542560521079575,0.8153518453270721,COMPLETE
46,0.8223749999999999,2025-11-05 18:54:28.541313,2025-11-05 18:54:43.908663,0 days 00:00:15.367350,0.7182013062064384,4.853057847383727,0.020441248511448448,1,4,17,500,2.2648083030326838,2.9446157000901167,1.0462554273206797,0.7775429817444942,COMPLETE
47,0.82175,2025-11-05 18:54:44.669994,2025-11-05 18:54:59.049480,0 days 00:00:14.379486,0.7447791595385683,3.252156231525683,0.02458854384755363,1,6,49,400,2.539990700159398,1.2977457385689048,1.2939418484292626,0.7395565485978705,PRUNED
48,0.8217500000000001,2025-11-05 18:54:59.791071,2025-11-05 18:55:19.412494,0 days 00:00:19.621423,0.9240321120477395,4.4949994148080155,0.026461091243026088,0,5,9,650,1.3295937822397272,1.137107347724058,1.0084705081872305,0.7917586528723412,COMPLETE
49,0.8205,2025-11-05 18:55:20.169173,2025-11-05 18:55:37.084766,0 days 00:00:16.915593,0.8916611240969796,4.0913975665049485,0.01681634261561795,1,3,5,600,2.8672052051348755,4.253128375521715,1.1861045610681444,0.6682113147151325,PRUNED
50,0.82175,2025-11-05 18:55:37.829320,2025-11-05 18:55:52.008670,0 days 00:00:14.179350,0.6833884532963941,4.674994389081157,0.04371156832581061,1,4,13,500,1.65644636493061,26.624517514824813,1.0995497862733048,0.7273497564134414,COMPLETE
51,0.8241250000000001,2025-11-05 18:55:52.784806,2025-11-05 18:56:16.454107,0 days 00:00:23.669301,0.8375370873685238,4.503080530793807,0.02204894228454911,1,5,26,800,2.7760433939089566,2.2428929345661226,1.2634925581902137,0.8423281357271203,COMPLETE
52,0.8233750000000001,2025-11-05 18:56:17.199335,2025-11-05 18:56:40.066054,0 days 00:00:22.866719,0.8467505648529028,4.4163575208372725,0.02132090632640254,1,5,27,750,2.8474065370832,1.8415512219867627,1.2338822127689724,0.8505069258588133,COMPLETE
53,0.822875,2025-11-05 18:56:40.827122,2025-11-05 18:57:01.543313,0 days 00:00:20.716191,0.5593925362276633,4.811484617799453,0.019342333039142116,1,5,19,700,2.4165150403311153,2.4499380670070927,1.2677789393785637,0.9061110585944461,COMPLETE
54,0.8244999999999999,2025-11-05 18:57:02.292853,2025-11-05 18:57:18.065089,0 days 00:00:15.772236,0.8734804427883174,4.173408087609577,0.030251257738296324,1,5,34,450,2.5932730605675207,2.095884759441503,1.3444129354279695,0.8843094011539678,COMPLETE
55,0.8231249999999999,2025-11-05 18:57:18.807821,2025-11-05 18:57:31.372121,0 days 00:00:12.564300,0.869860959563668,4.170417088378092,0.06982144366925322,1,5,40,450,2.8877007884123236,1.9978188634458764,1.3620401886573397,0.8728826020501292,COMPLETE
56,0.82075,2025-11-05 18:57:32.120733,2025-11-05 18:57:53.975592,0 days 00:00:21.854859,0.9320573696008193,3.837566407933825,0.030011272340131318,1,6,33,750,2.650158938270314,1.651213403301684,1.3988571105094507,0.9458531816964494,PRUNED
57,0.82225,2025-11-05 18:57:54.719377,2025-11-05 18:58:17.115273,0 days 00:00:22.395896,0.8740314095416462,2.629207211373017,0.035138360975645586,0,5,38,800,2.1491998700682973,1.484628346582639,1.341826640505326,0.8910274100912539,COMPLETE
58,0.81975,2025-11-05 18:58:17.863660,2025-11-05 18:58:29.317862,0 days 00:00:11.454202,0.906305497767154,1.362704826434611,0.02727624633430671,1,5,32,300,2.9868804419578834,1.1080890816526443,1.3201375543821146,0.8608823508111992,PRUNED
59,0.81875,2025-11-05 18:58:30.098595,2025-11-05 18:58:52.683992,0 days 00:00:22.585397,0.9005537739434734,0.05680049042756319,0.03911548323046784,2,6,35,600,1.0565198668715672,3.1484690704908935,1.5076780066777256,0.9261969274091274,PRUNED
60,0.8228750000000001,2025-11-05 18:58:53.425717,2025-11-05 18:59:13.715968,0 days 00:00:20.290251,0.8420226877578719,4.039508314232038,0.030183505250095673,1,5,43,700,2.6068414139041174,1.3832791031865748,1.1720087329582782,0.8321623987538862,COMPLETE
61,0.82225,2025-11-05 18:59:14.473375,2025-11-05 18:59:29.946576,0 days 00:00:15.473201,0.8117497871234072,4.324183673357095,0.02460519218862135,1,5,29,450,2.823215707258921,2.6947909361399818,1.232129836152258,0.7188570984196341,COMPLETE
62,0.82075,2025-11-05 18:59:30.695383,2025-11-05 18:59:43.774231,0 days 00:00:13.078848,0.7895370667320072,4.596359802667519,0.023182609997445144,1,5,23,350,2.74281959342168,2.0979464754303856,1.2932187229840242,0.8906531613923147,PRUNED
63,0.8237500000000001,2025-11-05 18:59:44.544198,2025-11-05 19:00:02.987150,0 days 00:00:18.442952,0.8642547918342071,4.973846013057288,0.026946273896408426,1,5,16,650,2.5410909364850833,5.323735308363454,1.1270477919151745,0.9078335941536496,COMPLETE
64,0.82175,2025-11-05 19:00:03.743851,2025-11-05 19:00:25.443476,0 days 00:00:21.699625,0.9336999316541299,1.7877598861197133,0.018425564732665007,1,5,3,500,2.9044901093863955,1.8709785947354691,1.1899527223991972,0.8137721979232857,COMPLETE
65,0.819875,2025-11-05 19:00:26.223267,2025-11-05 19:00:41.045987,0 days 00:00:14.822720,0.8860730572884639,3.693635680573588,0.016789726216028138,1,5,28,400,2.6901412936675158,2.314465869850671,1.2558887840865411,0.762677989887074,PRUNED
66,0.8220000000000001,2025-11-05 19:00:41.777903,2025-11-05 19:00:59.296925,0 days 00:00:17.519022,0.949815090667889,2.3734414136051987,0.021274412477771433,1,4,24,550,2.4165125440714403,1.5751809054856936,1.160272721948682,0.7438866034734987,COMPLETE
67,0.8225,2025-11-05 19:01:00.104868,2025-11-05 19:01:15.422711,0 days 00:00:15.317843,0.8360409398826746,4.279081926532135,0.03129903762761073,0,6,21,450,2.856874631001952,3.5390616531216486,1.2756900096253687,0.6911954078375744,COMPLETE
68,0.8241250000000001,2025-11-05 19:01:16.189333,2025-11-05 19:01:35.143982,0 days 00:00:18.954649,0.8229306761015467,3.902545069952203,0.034296993708858116,1,5,11,650,0.6198530237184392,2.652608488098494,1.2142010906463496,0.8619532011848384,COMPLETE
69,0.822875,2025-11-05 19:01:35.897703,2025-11-05 19:01:55.894044,0 days 00:00:19.996341,0.9121968105662107,3.3509655820527073,0.03356008306346756,1,5,11,650,0.3718299196939709,3.838544209972692,1.134475758365869,0.8609947702883317,COMPLETE
70,0.82175,2025-11-05 19:01:56.642289,2025-11-05 19:02:16.473565,0 days 00:00:19.831276,0.8124680065371287,3.920815994473405,0.03921882207966392,1,5,8,700,0.6524823975311665,2.085869253773964,1.3086000069925512,0.8470718289456598,COMPLETE
71,0.8215,2025-11-05 19:02:17.232779,2025-11-05 19:02:34.132894,0 days 00:00:16.900115,0.8537669209108615,4.753176390807662,0.02937617677402526,1,5,11,550,0.7624293954175096,2.7559419661754743,1.2288894448275105,0.8899027145626839,COMPLETE
72,0.822875,2025-11-05 19:02:34.896886,2025-11-05 19:02:50.354950,0 days 00:00:15.458064,0.8201217743022026,4.458066270128223,0.053137804186660025,1,5,13,600,2.929643833544185,2.511467721393135,1.2128766887352331,0.9216277365590618,COMPLETE
73,0.82325,2025-11-05 19:02:51.116029,2025-11-05 19:03:10.759002,0 days 00:00:19.642973,0.7982549143622658,4.161906125433159,0.02548719950780155,1,5,15,650,1.1753604200470038,3.171871267576001,1.2515314559339752,0.8734479159378535,COMPLETE
74,0.8238749999999999,2025-11-05 19:03:11.537867,2025-11-05 19:03:30.466594,0 days 00:00:18.928727,0.8762075394294109,3.5478976182968935,0.028254520715077596,2,5,9,550,2.775828485966938,1.9689993994678106,1.1889791109725654,0.8614007784366473,COMPLETE
75,0.823625,2025-11-05 19:03:31.216841,2025-11-05 19:03:48.140169,0 days 00:00:16.923328,0.8988511420395542,4.337107335707181,0.02395381230164558,1,6,26,450,1.916362964313735,2.286512723068935,1.1104466262227983,0.6795001408501387,COMPLETE
76,0.8225000000000001,2025-11-05 19:03:48.893310,2025-11-05 19:04:05.642490,0 days 00:00:16.749180,0.8418984911805166,3.7588407234619736,0.03554210905482419,1,5,19,500,1.747090759798971,1.671575645678169,1.1723850033747674,0.7021702706956551,COMPLETE
77,0.8241250000000001,2025-11-05 19:04:06.407225,2025-11-05 19:04:29.299406,0 days 00:00:22.892181,0.8599728464038694,2.916332062942261,0.02194052858769036,0,4,14,750,2.66581031912006,1.413443481501678,1.2027207061202745,0.8301614061925137,COMPLETE
78,0.8245000000000001,2025-11-05 19:04:30.044258,2025-11-05 19:04:53.452995,0 days 00:00:23.408737,0.8592562112439741,2.733510177551881,0.020069568426037063,0,4,12,750,1.428342714662309,1.4161993065921394,1.1483635926099711,0.8381831310602499,COMPLETE
79,0.8247500000000001,2025-11-05 19:04:54.246623,2025-11-05 19:05:18.445868,0 days 00:00:24.199245,0.8635066435177903,2.8209968633918563,0.020064472255473222,0,4,13,800,1.5326760581127512,1.1475548868459244,1.156604016311736,0.8242868548398422,COMPLETE
80,0.8234999999999999,2025-11-05 19:05:19.197389,2025-11-05 19:05:44.138070,0 days 00:00:24.940681,0.8892930677082089,2.116384740781851,0.01985787708187676,0,4,13,800,1.5371746419283723,1.0275178699090952,1.153469739211312,0.8389166402555798,COMPLETE
81,0.8225,2025-11-05 19:05:44.900728,2025-11-05 19:06:09.595271,0 days 00:00:24.694543,0.8550300958001154,2.850727973574265,0.02206856032836835,0,4,12,800,1.3768651629235853,1.3938022804437098,1.1948917467873774,0.8028854253594904,COMPLETE
82,0.8256249999999999,2025-11-05 19:06:10.337773,2025-11-05 19:06:33.656467,0 days 00:00:23.318694,0.8635315121019139,2.2498253635858356,0.018877530072878526,0,4,14,750,1.0229612025008161,1.1404955942297694,1.2142039349221234,0.8270618037740669,COMPLETE
83,0.8223750000000001,2025-11-05 19:06:34.412396,2025-11-05 19:06:55.311113,0 days 00:00:20.898717,0.9203137321447906,2.2652673374462595,0.018528356277899064,0,3,7,750,0.972149771496959,1.2576239507994236,1.2471814577118663,0.8215358831573238,COMPLETE
84,0.8238749999999999,2025-11-05 19:06:56.054208,2025-11-05 19:07:21.773819,0 days 00:00:25.719611,0.8684814968395073,1.8984467274817707,0.01631534052420807,0,4,10,800,1.202792616958564,1.1448216457712468,1.21708412951745,0.8384349497776393,COMPLETE
85,0.8231249999999999,2025-11-05 19:07:22.550369,2025-11-05 19:07:46.361188,0 days 00:00:23.810819,0.8839546589391032,2.718651905601531,0.020539416944046228,0,4,9,750,1.0963042118721371,1.0385265202889997,1.2833736431414462,0.8052442902007629,COMPLETE
86,0.8241249999999999,2025-11-05 19:07:47.117937,2025-11-05 19:08:08.416235,0 days 00:00:21.298298,0.8364934296844965,1.548921978974875,0.019286067450232362,0,4,15,700,0.2532704085185318,1.1797482017441137,1.1433439931600218,0.7878013673100783,COMPLETE
87,0.8241250000000001,2025-11-05 19:08:09.187519,2025-11-05 19:08:32.650455,0 days 00:00:23.462936,0.8208748146639123,2.48748983526444,0.014859924042643656,0,4,11,750,0.8494928455905217,1.5999369849438674,1.178461737872256,0.8231460113057356,COMPLETE
88,0.8228750000000001,2025-11-05 19:08:33.418012,2025-11-05 19:08:57.803053,0 days 00:00:24.385041,0.9029649739975463,3.047297468429943,0.01758146407222425,0,4,16,800,0.6187125794428006,1.7388331219103172,1.344869027521405,0.8549061184990105,COMPLETE
89,0.8167500000000001,2025-11-05 19:08:58.557299,2025-11-05 19:09:20.994154,0 days 00:00:22.436855,0.9371799038501518,0.9858791984275208,0.01006537533572063,0,3,5,800,1.446784955611479,1.4964552558558233,1.2658942017740484,0.8777493393696731,PRUNED
90,0.8231250000000001,2025-11-05 19:09:21.755516,2025-11-05 19:09:43.875885,0 days 00:00:22.120369,0.8701207060627526,1.1807752185004263,0.020924684101335706,0,4,12,700,1.5583437346088957,1.3431416547583002,1.2421328493778112,0.8446217840848138,COMPLETE
91,0.825,2025-11-05 19:09:44.648095,2025-11-05 19:10:07.282325,0 days 00:00:22.634230,0.8560245905024633,2.8966360724447755,0.02226788446345878,0,4,14,750,2.0191857771444512,1.4370908541259275,1.2014423675385753,0.8313470592598843,COMPLETE
92,0.8247500000000001,2025-11-05 19:10:08.054279,2025-11-05 19:10:30.576661,0 days 00:00:22.522382,0.8506744477861338,2.7547254811478683,0.02298800871202352,0,4,14,750,1.753925060346413,1.228187314933223,1.1611676817803789,0.824168687918652,COMPLETE
93,0.8258749999999999,2025-11-05 19:10:31.342863,2025-11-05 19:10:54.274278,0 days 00:00:22.931415,0.8485015392745842,2.64949629998448,0.018553055329523456,0,4,16,750,1.7938766701643425,1.104727948139977,1.1654373617794571,0.8270334580469513,COMPLETE
94,0.8248749999999999,2025-11-05 19:10:55.026591,2025-11-05 19:11:18.402603,0 days 00:00:23.376012,0.8477074069418631,2.7035254113601868,0.0186599684306528,0,4,14,750,1.8342827077905146,1.2174224473018616,1.1607396155410594,0.8211669461468972,COMPLETE
95,0.823625,2025-11-05 19:11:19.150250,2025-11-05 19:11:42.367626,0 days 00:00:23.217376,0.8505637787068362,2.573580665136283,0.018600771090034763,0,4,18,750,1.805424945742957,1.2151614189388042,1.1609152695409628,0.7965771503960729,COMPLETE
96,0.825375,2025-11-05 19:11:43.128570,2025-11-05 19:12:07.451162,0 days 00:00:24.322592,0.8947305475099825,2.735866568023944,0.019429013496941178,0,4,16,750,1.6215599160412624,1.0038370893662645,1.1168991889711342,0.820125516571857,COMPLETE
97,0.8243750000000001,2025-11-05 19:12:08.385095,2025-11-05 19:12:34.105061,0 days 00:00:25.719966,0.9258480007805096,2.6992466515156632,0.015593473863177967,0,4,16,750,2.038525249433853,1.1545233360877514,1.0884500764646743,0.8099615875334157,COMPLETE
98,0.8230000000000001,2025-11-05 19:12:34.904171,2025-11-05 19:12:59.265871,0 days 00:00:24.361700,0.8928070646399576,3.129686026057636,0.013359290030378888,0,4,14,750,1.6286182332622814,1.011472971130525,1.10686586717773,0.8193367770235226,COMPLETE
99,0.8240000000000001,2025-11-05 19:13:00.048982,2025-11-05 19:13:23.205478,0 days 00:00:23.156496,0.5734060714322586,2.321288353468376,0.01974503630927638,0,4,17,750,1.7677706640440116,1.0919225191274224,1.1338470947205186,0.8283902584357652,COMPLETE
100,0.8237500000000001,2025-11-05 19:13:23.938060,2025-11-05 19:13:45.237376,0 days 00:00:21.299316,0.9119868687461171,2.81555404103315,0.017125344755258808,0,4,13,700,1.8456375947179482,1.251012911323902,1.11718164350651,0.7813738941140395,COMPLETE
101,0.8240000000000001,2025-11-05 19:13:45.934988,2025-11-05 19:14:08.225551,0 days 00:00:22.290563,0.8791512208835176,2.598275178172565,0.018303785057316686,0,4,14,750,1.5868114040202372,1.3742073234411518,1.1616732572072985,0.8254913683959797,COMPLETE
102,0.8234999999999999,2025-11-05 19:14:08.913048,2025-11-05 19:14:32.368969,0 days 00:00:23.455921,0.8458389046819368,2.96882402554425,0.01633411727126812,0,4,16,800,1.727183063695585,1.102773553892354,1.063790325180576,0.8377714495049847,COMPLETE
