mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.760972833633423,0.03530655208688726,0.016852331161499024,0.0013813287683775936,0.8,0.3,0.05,3,3,500,0.05,2.0,1.0,0.8,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 500, 'reg_alpha': 0.05, 'reg_lambda': 2.0, 'scale_pos_weight': 1.0, 'subsample': 0.8}",0.8118749999999999,0.8362499999999999,0.82125,0.8318749999999999,0.8118749999999999,0.8226249999999998,0.010042098884197477,33
2.4935157775878904,0.03174880166419175,0.021726417541503906,0.0017814997134851602,0.7,0.1,0.05,3,3,700,0.05,2.0,1.0,0.8,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 700, 'reg_alpha': 0.05, 'reg_lambda': 2.0, 'scale_pos_weight': 1.0, 'subsample': 0.8}",0.81125,0.838125,0.8118749999999999,0.8325,0.8187500000000001,0.8225,0.010933034802834952,34
2.2844934463500977,0.05147941236558848,0.021266651153564454,0.001691147753113311,0.7,0.1,0.05,3,5,700,0.1,2.0,1.0,0.9,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 700, 'reg_alpha': 0.1, 'reg_lambda': 2.0, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.813125,0.8318749999999999,0.8206249999999999,0.83125,0.815625,0.8225,0.0077862057511987074,34
3.0962198257446287,0.050379535860496975,0.02431802749633789,0.0013999547582607397,0.8,0.1,0.03,4,3,700,0.2,3.0,1.0,0.8,"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 700, 'reg_alpha': 0.2, 'reg_lambda': 3.0, 'scale_pos_weight': 1.0, 'subsample': 0.8}",0.8118749999999999,0.835,0.8143750000000001,0.83375,0.8175,0.8225,0.009866293630335556,34
1.84396071434021,0.057146635881352124,0.017218875885009765,0.0020203554064727237,0.9,0.3,0.05,3,5,500,0.2,4.0,1.25,0.7,"{'colsample_bytree': 0.9, 'gamma': 0.3, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 500, 'reg_alpha': 0.2, 'reg_lambda': 4.0, 'scale_pos_weight': 1.25, 'subsample': 0.7}",0.815,0.833125,0.82375,0.829375,0.81125,0.8225,0.008300978857941994,34
2.5991061687469483,0.07359945619456565,0.021022605895996093,0.0014149208158503784,0.9,0.3,0.03,3,3,700,0.2,2.0,1.25,0.7,"{'colsample_bytree': 0.9, 'gamma': 0.3, 'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 700, 'reg_alpha': 0.2, 'reg_lambda': 2.0, 'scale_pos_weight': 1.25, 'subsample': 0.7}",0.815,0.8300000000000001,0.82375,0.829375,0.8143750000000001,0.8225,0.006743051979630593,34
1.7468091011047364,0.020433908577624126,0.016515254974365234,0.001343341720347304,0.8,0.3,0.07,3,5,500,0.2,3.0,1.0,0.7,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 500, 'reg_alpha': 0.2, 'reg_lambda': 3.0, 'scale_pos_weight': 1.0, 'subsample': 0.7}",0.81,0.835,0.818125,0.830625,0.8187500000000001,0.8225,0.009074345706440728,34
2.6664074897766112,0.07359943331399015,0.02162327766418457,0.002995426889435481,0.9,0.3,0.05,3,3,700,0.2,3.0,1.25,0.8,"{'colsample_bytree': 0.9, 'gamma': 0.3, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 700, 'reg_alpha': 0.2, 'reg_lambda': 3.0, 'scale_pos_weight': 1.25, 'subsample': 0.8}",0.809375,0.83875,0.814375,0.835,0.815,0.8225,0.011956954043568132,34
2.404120922088623,0.0659296111318706,0.020736503601074218,0.0011575679386975498,0.9,0.2,0.05,3,3,700,0.05,2.0,1.0,0.8,"{'colsample_bytree': 0.9, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 700, 'reg_alpha': 0.05, 'reg_lambda': 2.0, 'scale_pos_weight': 1.0, 'subsample': 0.8}",0.810625,0.835,0.815,0.833125,0.81875,0.8225,0.00980274196334882,34
2.256549596786499,0.045033484236737815,0.02021756172180176,0.001028805873746998,0.7,0.3,0.07,3,7,700,0.05,3.0,1.0,0.9,"{'colsample_bytree': 0.7, 'gamma': 0.3, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 7, 'n_estimators': 700, 'reg_alpha': 0.05, 'reg_lambda': 3.0, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.81125,0.833125,0.8243750000000001,0.829375,0.814375,0.8225,0.008440971508067066,34
1.693621778488159,0.045594238359867645,0.0175626277923584,0.002975116691906501,0.7,0.3,0.05,3,7,500,0.1,4.0,1.0,0.9,"{'colsample_bytree': 0.7, 'gamma': 0.3, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 7, 'n_estimators': 500, 'reg_alpha': 0.1, 'reg_lambda': 4.0, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.8143750000000001,0.83125,0.81875,0.826875,0.82125,0.8225,0.005955564624785797,34
1.171508502960205,0.03771520131215551,0.012611865997314453,0.0004897861600632916,0.9,0.2,0.07,3,3,300,0.2,3.0,1.0,0.7,"{'colsample_bytree': 0.9, 'gamma': 0.2, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 300, 'reg_alpha': 0.2, 'reg_lambda': 3.0, 'scale_pos_weight': 1.0, 'subsample': 0.7}",0.816875,0.835,0.81375,0.8325,0.814375,0.8225,0.009278671779947822,34
1.7296061992645264,0.043064168203638044,0.0167633056640625,0.00045651742051224566,0.7,0.3,0.07,3,3,500,0.05,3.0,1.0,0.8,"{'colsample_bytree': 0.7, 'gamma': 0.3, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 500, 'reg_alpha': 0.05, 'reg_lambda': 3.0, 'scale_pos_weight': 1.0, 'subsample': 0.8}",0.81125,0.838125,0.813125,0.8331249999999999,0.816875,0.8225,0.010982941318244375,34
2.3827516555786135,0.036512742709688024,0.021893787384033202,0.001597009911842806,0.7,0.1,0.05,3,3,700,0.2,3.0,1.0,0.7,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 700, 'reg_alpha': 0.2, 'reg_lambda': 3.0, 'scale_pos_weight': 1.0, 'subsample': 0.7}",0.8143750000000001,0.8318749999999999,0.82,0.830625,0.815625,0.8225,0.007395099728874467,34
