number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_mean_gap,user_attrs_mean_val_acc,user_attrs_std_val,state,mean_val_acc,mean_gap,std_val
219,0.8337,2025-11-08 15:08:54.677548,2025-11-08 15:09:00.079552,0 days 00:00:05.402004,0.525553429637269,0.011214520852862384,384,3,38,0.06861552304771011,0.7447155309610957,1700,144,2.0323669672722415e-07,1.8864041477208278e-07,0.5787441518776811,3,0.027600000000000003,0.8337,0.004057092555020144,COMPLETE,0.8337,0.027600000000000003,0.004057092555020144
186,0.8337,2025-11-08 15:05:30.246919,2025-11-08 15:05:36.117919,0 days 00:00:05.871000,0.5155719803055142,0.010498793995224706,320,3,36,0.02137616359001074,0.5519080004881869,1800,87,3.6044055792401074e-07,2.142852448226203e-07,0.5701765415630324,3,0.02772499999999998,0.8337,0.004365775990588604,COMPLETE,0.8337,0.02772499999999998,0.004365775990588604
171,0.8337,2025-11-08 15:03:56.852919,2025-11-08 15:04:02.499919,0 days 00:00:05.647000,0.5572780874331205,0.01056676702005588,320,3,38,0.03060998109217649,0.5715941270360292,1800,87,9.541080248084572e-07,3.754430783202459e-08,0.5920928429913521,3,0.02822499999999999,0.8337,0.00441134900002255,COMPLETE,0.8337,0.02822499999999999,0.00441134900002255
282,0.8337,2025-11-08 15:15:08.422927,2025-11-08 15:15:13.867927,0 days 00:00:05.445000,0.5665562379399668,0.010872951178650581,320,3,38,0.0303208437286948,0.650174494490485,1700,148,8.371960062894867e-08,1.570510017261773e-06,0.5712010449572428,3,0.02702500000000001,0.8337,0.004081666326391731,COMPLETE,0.8337,0.02702500000000001,0.004081666326391731
280,0.8337,2025-11-08 15:14:57.822107,2025-11-08 15:15:03.450108,0 days 00:00:05.628001,0.5459558896670745,0.010815561452955003,320,3,41,0.029419821824991352,0.7020943418967291,1700,147,9.636134456767783e-08,4.790170201249553e-07,0.5622494631394281,3,0.027100000000000013,0.8337,0.00370944739819829,COMPLETE,0.8337,0.027100000000000013,0.00370944739819829
173,0.8337,2025-11-08 15:04:08.777918,2025-11-08 15:04:14.099919,0 days 00:00:05.322001,0.5790535281890047,0.010630113512555129,384,3,34,0.022436156733627616,0.5716955002814044,1800,88,1.122244322130262e-06,1.014985050194874e-06,0.5803406723476783,3,0.02597499999999999,0.8337,0.0034438350715445044,COMPLETE,0.8337,0.02597499999999999,0.0034438350715445044
326,0.8336,2025-11-08 15:19:11.685478,2025-11-08 15:19:17.196486,0 days 00:00:05.511008,0.5157044468418726,0.011052716119740073,320,3,39,0.03737684073532425,0.5066945427198358,1600,89,0.1638162449816857,3.725716250236789e-07,0.5731681426369927,3,0.027449999999999995,0.8336,0.003104834939252013,COMPLETE,0.8336,0.027449999999999995,0.003104834939252013
207,0.8336,2025-11-08 15:07:39.382974,2025-11-08 15:07:44.664361,0 days 00:00:05.281387,0.5363528166138829,0.012030472351817173,384,3,34,0.058580795103776576,0.8457247834225626,1700,142,3.924208412538013e-07,3.544268671447122e-08,0.5711643308944137,3,0.028525000000000002,0.8336,0.004103656905736651,COMPLETE,0.8336,0.028525000000000002,0.004103656905736651
152,0.8336,2025-11-08 15:02:02.688412,2025-11-08 15:02:08.197410,0 days 00:00:05.508998,0.5437200321539711,0.010919514944276296,320,3,38,0.03372661256741917,0.4980988950735646,1700,90,5.289881245677438e-07,2.7925568102958006e-07,0.5894405869025499,3,0.028800000000000048,0.8336,0.002059126028197402,COMPLETE,0.8336,0.028800000000000048,0.002059126028197402
196,0.8336,2025-11-08 15:06:34.438919,2025-11-08 15:06:39.789925,0 days 00:00:05.351006,0.5121580270590557,0.012586989164115261,384,3,34,0.07453886750028287,0.5268593448436706,1700,147,2.477605026907989e-07,2.3731026275482717e-08,0.5665392767651622,3,0.029949999999999987,0.8336,0.00477912125813943,COMPLETE,0.8336,0.029949999999999987,0.00477912125813943
234,0.8335000000000001,2025-11-08 15:10:24.290567,2025-11-08 15:10:30.011567,0 days 00:00:05.721000,0.5362738260144503,0.01056194733857426,384,3,33,0.051086256326133936,0.8031783524021789,1700,148,1.677630427638729e-07,1.7544102257191285e-06,0.5879685505328327,3,0.028374999999999994,0.8335000000000001,0.004335896677735763,COMPLETE,0.8335000000000001,0.028374999999999994,0.004335896677735763
329,0.8335000000000001,2025-11-08 15:19:28.451523,2025-11-08 15:19:33.652515,0 days 00:00:05.200992,0.512789722826579,0.012049489583448685,320,3,39,0.04218137140106293,0.6349534885090037,1600,134,0.11008312329121131,3.001845215486342e-07,0.5757240226589873,3,0.028200000000000003,0.8335000000000001,0.003209361307176235,COMPLETE,0.8335000000000001,0.028200000000000003,0.003209361307176235
278,0.8335000000000001,2025-11-08 15:14:44.607108,2025-11-08 15:14:50.197107,0 days 00:00:05.589999,0.5572905125465101,0.010627564620856346,320,3,41,0.025641825461058573,0.6527838971857408,1700,150,2.047181066519987e-07,2.9598518855323195e-07,0.5642182397042246,3,0.026525,0.8335000000000001,0.004393176527297784,COMPLETE,0.8335000000000001,0.026525,0.004393176527297784
183,0.8335000000000001,2025-11-08 15:05:11.179919,2025-11-08 15:05:16.862919,0 days 00:00:05.683000,0.5481860107364728,0.01056718740033348,384,3,36,0.03840307213648433,0.5040677596825716,1800,87,6.169234935792446e-07,1.2713720064382308e-08,0.5900814140072865,3,0.027475000000000006,0.8335000000000001,0.0036469165057620785,COMPLETE,0.8335000000000001,0.027475000000000006,0.0036469165057620785
328,0.8335,2025-11-08 15:19:23.865515,2025-11-08 15:19:27.650515,0 days 00:00:03.785000,0.5182553466560376,0.011477761122236297,320,9,42,0.02671449069288858,0.7204280502931234,1600,88,0.36210852757504,1.777180480473273e-07,0.5475674040768241,3,,,,PRUNED,,,
367,0.8335,2025-11-08 15:23:04.453083,2025-11-08 15:23:08.804248,0 days 00:00:04.351165,0.5196840252034451,0.011068153732712109,384,4,39,0.08600629573543642,0.8347524787321693,1800,148,0.24045540370353233,9.233724766544836e-07,0.5810565797185527,4,,,,PRUNED,,,
304,0.8334999999999999,2025-11-08 15:17:08.847927,2025-11-08 15:17:14.725927,0 days 00:00:05.878000,0.5540502934298365,0.011535334606222228,320,3,40,0.02454514735038949,0.4996432087488292,1800,144,1.0424696681985173e-07,4.767660570130704e-07,0.5748513216142417,3,0.025575000000000014,0.8334999999999999,0.0033615472627943053,COMPLETE,0.8334999999999999,0.025575000000000014,0.0033615472627943053
392,0.8334999999999999,2025-11-08 15:25:32.938874,2025-11-08 15:25:38.235891,0 days 00:00:05.297017,0.5001688345139084,0.012490526638488372,512,3,38,0.015961063837051932,0.747224596781722,1800,121,4.022959917812101e-08,1.0190786210708551e-07,0.5706436025985148,3,0.02782499999999999,0.8334999999999999,0.0031780497164141295,COMPLETE,0.8334999999999999,0.02782499999999999,0.0031780497164141295
271,0.8333999999999999,2025-11-08 15:14:04.816109,2025-11-08 15:14:10.602107,0 days 00:00:05.785998,0.5579972306625407,0.01055540797901673,320,3,38,0.025159744045599248,0.7343434006291157,1700,137,6.835466670722672e-07,1.864302322302757e-07,0.5641993275534953,3,0.027875000000000028,0.8333999999999999,0.003839270764090517,COMPLETE,0.8333999999999999,0.027875000000000028,0.003839270764090517
188,0.8333999999999999,2025-11-08 15:05:43.291918,2025-11-08 15:05:48.550930,0 days 00:00:05.259012,0.5164060035378709,0.011657656312051642,384,3,32,0.04701057655009256,0.5573612643794528,1800,87,1.6907539541681226e-07,1.2222623791336344e-08,0.5692479495843512,3,0.027474999999999982,0.8333999999999999,0.004715930449020651,COMPLETE,0.8333999999999999,0.027474999999999982,0.004715930449020651
300,0.8333999999999999,2025-11-08 15:16:45.610931,2025-11-08 15:16:51.191927,0 days 00:00:05.580996,0.5434494651961004,0.011001698525498583,320,3,41,0.06770465486012144,0.8367076668237327,1700,142,4.0819316277778047e-07,4.6417077221919265e-07,0.5904620509869993,3,0.02785000000000002,0.8333999999999999,0.0035972211497209937,COMPLETE,0.8333999999999999,0.02785000000000002,0.0035972211497209937
287,0.8333,2025-11-08 15:15:37.993928,2025-11-08 15:15:43.477928,0 days 00:00:05.484000,0.563643665387132,0.011391258102278316,320,3,37,0.030839973603379714,0.6783360002141556,1700,145,6.864273183522185e-08,7.96360797993419e-07,0.5811518734449508,3,0.029074999999999983,0.8333,0.002749545416973487,COMPLETE,0.8333,0.029074999999999983,0.002749545416973487
327,0.8333,2025-11-08 15:19:17.986487,2025-11-08 15:19:23.074515,0 days 00:00:05.088028,0.510537101772372,0.01254014470046242,320,3,40,0.03488002975571457,0.5537226396439311,1600,92,0.16084078616963757,3.6373514864995e-07,0.5685306563246162,3,0.02815000000000003,0.8333,0.004643274706497558,COMPLETE,0.8333,0.02815000000000003,0.004643274706497558
168,0.8333,2025-11-08 15:03:38.801409,2025-11-08 15:03:44.262410,0 days 00:00:05.461001,0.5890155447712329,0.012592387711554688,384,3,30,0.05288417671196527,0.5743431342605431,1800,86,1.4456338766115773e-06,1.3817633768158985e-07,0.5921345683914836,3,0.032424999999999995,0.8333,0.004093897898091762,COMPLETE,0.8333,0.032424999999999995,0.004093897898091762
104,0.8333,2025-11-08 14:56:42.913273,2025-11-08 14:56:51.060273,0 days 00:00:08.147000,0.5333027413206556,0.010804375583272584,192,5,45,0.04772182344473565,0.07167046811605868,2000,40,1.1008011538097247e-05,0.01682576160108064,0.5467034681042329,3,0.055624999999999994,0.8333,0.0030757112998459194,COMPLETE,0.8333,0.055624999999999994,0.0030757112998459194
378,0.8333,2025-11-08 15:24:08.729431,2025-11-08 15:24:13.637431,0 days 00:00:04.908000,0.5286747586722886,0.011759180802642117,256,3,35,0.10544553220384036,0.7519675644682894,1900,136,2.025753046485465e-06,4.530597871691323e-07,0.5605987871146485,3,0.026849999999999995,0.8333,0.004342810150121708,COMPLETE,0.8333,0.026849999999999995,0.004342810150121708
350,0.8332,2025-11-08 15:21:31.107912,2025-11-08 15:21:36.574918,0 days 00:00:05.467006,0.5354102524340444,0.01231691097814691,384,3,31,0.022303448817794193,0.5449785873962698,1600,139,8.540051344045119e-07,2.8648916362505303e-08,0.5925431235975454,3,0.030299999999999994,0.8332,0.0028913664589601917,COMPLETE,0.8332,0.030299999999999994,0.0028913664589601917
273,0.8332,2025-11-08 15:14:15.443112,2025-11-08 15:14:21.021111,0 days 00:00:05.577999,0.5646971811437538,0.012249029091031722,320,3,39,0.07094025242868975,0.7372288433031348,1700,136,5.483183174719457e-08,1.5980266417463595e-07,0.5601674458116037,3,0.026324999999999998,0.8332,0.003969886648255845,COMPLETE,0.8332,0.026324999999999998,0.003969886648255845
237,0.8331999999999999,2025-11-08 15:10:41.650566,2025-11-08 15:10:46.991570,0 days 00:00:05.341004,0.5265626800693741,0.011309176601820516,384,3,37,0.04110401717239466,0.7786960589856919,1700,125,1.0966706744975202e-06,3.7666338876171047e-07,0.5774485547675509,3,0.027449999999999995,0.8331999999999999,0.005427706698044772,COMPLETE,0.8331999999999999,0.027449999999999995,0.005427706698044772
