feature,shap_importance,importance,shap_norm,lgbm_norm,diff
p1_speed_tier_advantage,0.008697968344899274,15,0.000908654472972532,0.0006838386140870754,0.00022481585888545653
p2_lead_base_atk,0.005758325381361711,18,0.0006015575025257432,0.0008206063369044905,0.0002190488343787473
tl_p1_move_type_psychic_count,0.06863705070580477,153,0.007170336872063452,0.00697515386368817,0.00019518300837528205
tl_move_type_water_count_diff,0.016122455937789628,41,0.0016842716738289937,0.001869158878504673,0.0001848872046756793
tl_p1_move_type_rock_count,0.0,4,0.0,0.00018235696375655346,0.00018235696375655346
p1_base_spd_min,0.0,4,0.0,0.00018235696375655346,0.00018235696375655346
p1_slower_than_lead_count,0.0037288361231911046,5,0.00038954195830180263,0.00022794620469569182,0.0001615957536061108
p1_much_slower_than_lead,0.005026584105998625,8,0.0005251143658584077,0.0003647139275131069,0.0001604004383453008
p1_vs_lead_avg_effectiveness,0.007617692381131626,14,0.0007958008101861156,0.000638249373147937,0.00015755143703817857
p2_lead_base_hp,0.006306831670781902,11,0.0006588585495716893,0.000501481650330522,0.0001573768992411673
p1_base_spa_min,0.00410692475561459,6,0.0004290399092495243,0.0002735354456348302,0.0001555044636146941
p2_lead_base_spd,0.0031868935855290923,4,0.0003329266095888527,0.00018235696375655346,0.00015056964583229923
p1_type_grass_count,0.0027436206683620536,3,0.00028661902338481524,0.0001367677228174151,0.00014985130056740015
tl_p1_move_type_ghost_count,0.010018718609805662,26,0.0010466298700192022,0.0011853202644175975,0.00013869039439839536
tl_move_type_flying_count_diff,0.014843908314843147,31,0.0015507050786849675,0.0014132664691132893,0.00013743860957167822
tl_p1_move_type_poison_count,0.0,3,0.0,0.0001367677228174151,0.0001367677228174151
p1_speed_control_ratio,0.0,3,0.0,0.0001367677228174151,0.0001367677228174151
p1_type_flying_count,0.0,3,0.0,0.0001367677228174151,0.0001367677228174151
p1_type_ice_count,0.010544801420042747,27,0.0011015883936330774,0.0012309095053567357,0.00012932111172365827
p1_wall_count,0.0024528242904327527,3,0.00025624027066325307,0.0001367677228174151,0.00011947254784583797
p1_base_def_mean,0.019804343015172626,48,0.002068908985576139,0.0021882835650786415,0.00011937457950250262
p1_base_def_std,0.09039243892453323,205,0.009443066552413934,0.009345794392523364,9.727215989057021e-05
p1_type_coverage_breadth,0.0,2,0.0,9.117848187827673e-05,9.117848187827673e-05
p2_lead_type_normal,0.0,2,0.0,9.117848187827673e-05,9.117848187827673e-05
p1_switch_efficiency,0.0,2,0.0,9.117848187827673e-05,9.117848187827673e-05
p2_lead_type_electric,0.0,2,0.0,9.117848187827673e-05,9.117848187827673e-05
tl_p1_inflicted_tox_rate,0.0,1,0.0,4.5589240939138365e-05,4.5589240939138365e-05
tl_p2_move_type_rock_count,0.0,1,0.0,4.5589240939138365e-05,4.5589240939138365e-05
p1_type_dragon_count,0.0,1,0.0,4.5589240939138365e-05,4.5589240939138365e-05
p1_type_rock_count,0.0,1,0.0,4.5589240939138365e-05,4.5589240939138365e-05
tl_p2_move_type_poison_count,0.0,1,0.0,4.5589240939138365e-05,4.5589240939138365e-05
p1_super_effective_options,0.0,1,0.0,4.5589240939138365e-05,4.5589240939138365e-05
tl_p2_inflicted_tox_rate,0.0,1,0.0,4.5589240939138365e-05,4.5589240939138365e-05
p1_base_spd_mean,0.0012524889825430694,2,0.00013084431573080817,9.117848187827673e-05,3.966583385253144e-05
tl_p2_move_type_fighting_count,0.032155460810925324,73,0.003359198624064274,0.0033280145885571004,3.118403550717366e-05
p1_base_def_max,0.01413458745857005,32,0.0014766041457696132,0.0014588557100524277,1.7748435717185578e-05
p1_base_spa_max,0.001637465080483331,4,0.0001710617825586874,0.00018235696375655346,1.1295181197866071e-05
tl_p2_move_type_grass_count,0.03049445535389677,70,0.0031856776386670507,0.0031912468657396852,5.56922707263454e-06
p1_n_unique_names,0.0,0,0.0,0.0,0.0
p1_tl_special_moves,0.0,0,0.0,0.0,0.0
p1_tl_offensive_ratio,0.0,0,0.0,0.0,0.0
p1_tl_status_moves,0.0,0,0.0,0.0,0.0
p1_level_mean,0.0,0,0.0,0.0,0.0
p1_avg_level_advantage,0.0,0,0.0,0.0,0.0
p1_first_blood_turn,0.0,0,0.0,0.0,0.0
p1_first_blood,0.0,0,0.0,0.0,0.0
p1_level_sum,0.0,0,0.0,0.0,0.0
tl_inflicted_psn_rate_diff,0.0,0,0.0,0.0,0.0
p1_tl_physical_moves,0.0,0,0.0,0.0,0.0
tl_p1_fainted,0.0,0,0.0,0.0,0.0
tl_p2_fainted,0.0,0,0.0,0.0,0.0
p1_base_atk_min,0.0,0,0.0,0.0,0.0
tl_p1_inflicted_tox_count,0.0,0,0.0,0.0,0.0
tl_p1_fainted_rate,0.0,0,0.0,0.0,0.0
tl_p2_fainted_rate,0.0,0,0.0,0.0,0.0
tl_p1_comeback_kos,0.0,0,0.0,0.0,0.0
tl_comeback_kos_diff,0.0,0,0.0,0.0,0.0
tl_p2_comeback_kos,0.0,0,0.0,0.0,0.0
tl_p1_inflicted_brn_count,0.0,0,0.0,0.0,0.0
fainted_diff,0.0,0,0.0,0.0,0.0
tl_p1_inflicted_psn_count,0.0,0,0.0,0.0,0.0
p1_likely_crits,0.0,0,0.0,0.0,0.0
tl_inflicted_psn_diff,0.0,0,0.0,0.0,0.0
tl_p2_inflicted_psn_count,0.0,0,0.0,0.0,0.0
p2_lead_n_unique_types,0.0,0,0.0,0.0,0.0
p1_total_stat_drop_abilities,0.0,0,0.0,0.0,0.0
p1_ability_volt_absorb_count,0.0,0,0.0,0.0,0.0
p1_ability_levitate_count,0.0,0,0.0,0.0,0.0
tl_move_type_bug_count_diff,0.0,0,0.0,0.0,0.0
tl_p1_move_type_dragon_count,0.0,0,0.0,0.0,0.0
p1_ability_water_absorb_count,0.0,0,0.0,0.0,0.0
p1_ability_flash_fire_count,0.0,0,0.0,0.0,0.0
p1_base_hp_max,0.0,0,0.0,0.0,0.0
tl_p2_inflicted_brn_count,0.0,0,0.0,0.0,0.0
tl_inflicted_brn_diff,0.0,0,0.0,0.0,0.0
p1_base_def_min,0.0,0,0.0,0.0,0.0
p1_intimidate_vs_lead,0.0,0,0.0,0.0,0.0
p2_lead_ability_sand_stream_count,0.0,0,0.0,0.0,0.0
p2_lead_total_stat_drop_abilities,0.0,0,0.0,0.0,0.0
p2_lead_ability_drizzle_count,0.0,0,0.0,0.0,0.0
tl_move_type_dragon_count_diff,0.0,0,0.0,0.0,0.0
p2_lead_ability_drought_count,0.0,0,0.0,0.0,0.0
p2_lead_ability_intimidate_count,0.0,0,0.0,0.0,0.0
p2_lead_type_grass,0.0,0,0.0,0.0,0.0
p2_lead_type_fire,0.0,0,0.0,0.0,0.0
p2_lead_level,0.0,0,0.0,0.0,0.0
tl_p2_inflicted_brn_rate,0.0,0,0.0,0.0,0.0
tl_p1_inflicted_brn_rate,0.0,0,0.0,0.0,0.0
tl_p2_move_type_dragon_count,0.0,0,0.0,0.0,0.0
p2_lead_ability_levitate_count,0.0,0,0.0,0.0,0.0
p2_lead_ability_water_absorb_count,0.0,0,0.0,0.0,0.0
p2_lead_ability_volt_absorb_count,0.0,0,0.0,0.0,0.0
p2_lead_ability_flash_fire_count,0.0,0,0.0,0.0,0.0
tl_p1_move_type_bug_count,0.0,0,0.0,0.0,0.0
tl_p2_move_type_bug_count,0.0,0,0.0,0.0,0.0
p2_lead_total_immunity_abilities,0.0,0,0.0,0.0,0.0
tl_kos_early_p2,0.0,0,0.0,0.0,0.0
tl_kos_late_p1,0.0,0,0.0,0.0,0.0
tl_kos_early_p1,0.0,0,0.0,0.0,0.0
tl_first_ko_turn_diff,0.0,0,0.0,0.0,0.0
tl_first_ko_turn_p1_taken,0.0,0,0.0,0.0,0.0
tl_first_ko_turn_p1_inflicted,0.0,0,0.0,0.0,0.0
tl_inflicted_brn_rate_diff,0.0,0,0.0,0.0,0.0
tl_kos_late_p2,0.0,0,0.0,0.0,0.0
p2_lead_type_dragon,0.0,0,0.0,0.0,0.0
p2_lead_type_ground,0.0,0,0.0,0.0,0.0
tl_turns_count,0.0,0,0.0,0.0,0.0
p1_ability_drought_count,0.0,0,0.0,0.0,0.0
p1_ability_intimidate_count,0.0,0,0.0,0.0,0.0
p1_ability_drizzle_count,0.0,0,0.0,0.0,0.0
p1_total_immunity_abilities,0.0,0,0.0,0.0,0.0
p1_ability_sand_stream_count,0.0,0,0.0,0.0,0.0
p2_lead_type_rock,0.0,0,0.0,0.0,0.0
tl_p2_inflicted_psn_rate,0.0,0,0.0,0.0,0.0
tl_p1_inflicted_psn_rate,0.0,0,0.0,0.0,0.0
p1_tl_stab_moves,0.0,0,0.0,0.0,0.0
tl_inflicted_tox_rate_diff,0.0,0,0.0,0.0,0.0
p2_tl_status_moves,0.0,0,0.0,0.0,0.0
p1_type_ground_count,0.0,0,0.0,0.0,0.0
p2_tl_type_entropy,0.0,0,0.0,0.0,0.0
p2_tl_unique_types_seen,0.0,0,0.0,0.0,0.0
p2_tl_status_ratio,0.0,0,0.0,0.0,0.0
p2_tl_offensive_ratio,0.0,0,0.0,0.0,0.0
p2_tl_special_moves,0.0,0,0.0,0.0,0.0
p1_tl_status_ratio,0.0,0,0.0,0.0,0.0
p2_tl_stab_moves,0.0,0,0.0,0.0,0.0
p2_tl_physical_moves,0.0,0,0.0,0.0,0.0
p1_type_fire_count,0.0,0,0.0,0.0,0.0
